연도,대회명,라운드,날짜,상대팀,스코어,득점자,도움자,MOM,매치데이,비고
2022,춘계대회,조별리그,2022-02-12,경일대,5:00,"김경민(2), 최규현, 김장우, 민요셉",,,,
2022,춘계대회,조별리그,2022-02-14,대신대,7:01,"동창혁, 김동현, 이현규, 최규현, 이재범, 정유현(2)",,,,
2022,춘계대회,조별리그,2022-02-16,칼빈대,0:01,-,,,,
2022,춘계대회,22강,2022-02-18,동의대,2:2(5PSO4),"김경민, 김훈민",,,,
2022,U리그,1라운드,2022-03-19,고려대,0:00,-,,,,
2022,U리그,2라운드,2022-03-25,성균관대,0:00,김장우,,,,
2022,U리그,3라운드,2022-04-01,홍익대,2:01,"김유찬, 김장우",,,,
2022,U리그,4라운드,2022-04-08,수원대,3:00,"김경민(2), 동창혁",,,,
2022,U리그,5라운드,2022-04-15,동국대,2:03,"김경민, 동창혁",,,,
2022,U리그,6라운드,2022-04-29,중앙대,0:00,-,,,,
2022,U리그,7라운드,2022-05-20,용인대,2:03,"조승택, 최규현",,,,
2022,U리그,8라운드,2022-05-27,연세대,0:00,-,,,,
2022,U리그,9라운드,2022-06-03,고려대,1:01,김유찬,,,,
2022,U리그,10라운드,2022-06-10,성균관대,0:01,-,,,,
2022,U리그,11라운드,2022-06-17,홍익대,3:02,"김유찬, 김동현, 민요셉",,,,
2022,저학년대회,조별리그,2022-07-04,순복음총회,3:01,"김장우, 이현규, 조준현",,,,
2022,저학년대회,조별리그,2022-07-06,상지대,2:02,"장재혁, 김장우",,,,
2022,저학년대회,조별리그,2022-07-08,김해대,0:00,-,,,,
2022,저학년대회,16강,2022-07-11,아주대,1:02,조준현,,,,
2022,추계대회,조별리그,2022-08-13,동원대,5:00,"이현규, 최치웅(2), 장재혁, 정동진",,,,
2022,추계대회,조별리그,2022-08-15,신성대,3:00,"최치웅, 김유찬, 조준현",,,,
2022,추계대회,조별리그,2022-08-17,순복음총회,3:00,"김장우(2), 이산",,,,
2022,추계대회,16강,2022-08-21,홍익대,2:2(5PSO4),김유찬(2),,,,
2022,추계대회,8강,2022-08-23,전주대,0:0(2PSO4),-,,,,
2022,U리그,12라운드,2022-09-02,수원대,0:00,-,,,,
2022,U리그,13라운드,2022-09-30,중앙대,2:00,"엄하은, 김경민",,,,
2022,전국체육대회,16강,2022-10-07,인천대,4:01,"동창혁(2), 김장우",,,,
2022,전국체육대회,8강,2022-10-09,선문대,1:00,엄하은,,,,
2022,전국체육대회,준결승,2022-10-11,호원대,1:1(4PSO2),최치웅,,,,
2022,전국체육대회,결승,2022-10-13,울산대,0:0(1PSO4),-,,,,
2022,U리그,14라운드,2022-10-28,용인대,2:01,"동창혁, 조준현",,,,
2022,U리그,15라운드,2022-11-01,동국대,2:03,"김장우, 장재혁",,,,
2022,U리그,16라운드,2022-11-04,연세대,0:01,-,,,,
2023,춘계대회,조별리그,2023-02-11,아주대,0:00,-,,백승민,,
2023,춘계대회,조별리그,2023-02-13,인천대,1:00,김동현1,,김동현1,,
2023,춘계대회,조별리그,2023-02-15,김천대,3:00,"이동열, 김동현1, 김장우",,이찬형,,
2023,춘계대회,16강,2023-02-19,광운대,2:04,"신동훈, 이동열",,-,,
2023,U리그,1라운드,2023-04-07,김천대,0:00,-,,조준현,,
2023,U리그,2라운드,2023-04-14,성균관대,0:00,-,,조승택,,
2023,U리그,3라운드,2023-04-21,제주국제대,3:00,"엄하은, 조준현, 정유현",,정유현,,
2023,U리그,4라운드,2023-05-12,가톨릭관동대,1:00,김현민,,김현민,,
2023,U리그,5라운드,2023-05-19,대구대,5:00,"조준현, 김경민(3), 엄하은",,김경민,,
2023,U리그,6라운드,2023-05-26,단국대,1:00,조준현,,조준현,,
2023,U리그,7라운드,2023-06-16,한양대,1:01,조준현,,장재혁,,
2023,저학년대회,조별리그,2023-07-03,선문대,1:00,조준현,,백승민,,
2023,저학년대회,조별리그,2023-07-05,세경대,1:01,이민재,,-,,
2023,저학년대회,조별리그,2023-07-07,순복음총회,0:01,-,,-,,
2023,저학년대회,16강,2023-07-10,조선대,3:02,"정유찬, 최민규, 양한울",,양한울,,
2023,저학년대회,8강,2023-07-12,전주대,1:1(5PSO6),조준현,,-,,
2023,추계대회,조별리그,2023-08-11,인천대,2:01,"정유현, 조준현",,정유현,,
2023,추계대회,조별리그,2023-08-13,위덕대,1:00,장재혁,,장재혁,,
2023,추계대회,조별리그,2023-08-15,군장대,7:00,"이민재, 신동훈, 김경민(4), 김장우",,김경민,,
2023,추계대회,16강,2023-08-20,광운대,3:00,신동훈(3),,신동훈,,
2023,추계대회,8강,2023-08-22,제주국제대,1:1(2PSO3),조준현,,-,,
2023,U리그,8라운드,2023-09-08,김천대,2:01,"이찬형, 이동열",,-,,
2023,U리그,9라운드,2023-09-22,제주국제대,2:00,"정유현, 이찬형",,정유현,,
2023,U리그,10라운드,2023-09-26,한양대,2:01,"정유현, 이민재",,-,,
2023,U리그,11라운드,2023-10-06,가톨릭관동대,2:01,"김현민, 조준현",,김동현1,,
2023,U리그,12라운드,2023-10-13,성균관대,2:01,이민재(2),,이민재,,
2023,U리그,13라운드,2023-10-20,상지대,1:00,이민재,,이민재,,
2023,U리그,14라운드,2023-10-27,대구대,4:02,"김현민, 이민재, 조준현(2)",,김현민,,
2023,U리그,15라운드,2023-10-31,상지대,3:02,"조승택, 이동열, 김현민",,-,,
2023,U리그,16라운드,2023-11-03,단국대,1:00,김현민,,,,
2023,왕중왕전,8강,2023-11-14,건국대,1:1(5PSO4),조준현,,,,
2023,왕중왕전,준결승,2023-11-17,전주대,1:1(4PSO3),이동열,,,,
2023,왕중왕전,결승,2023-11-23,중앙대,0:01,-,,-,,
2024,춘계대회,조별리그,2024-02-13,한남대,1:00,이민재,,이민재,백승민,
2024,춘계대회,조별리그,2024-02-17,인제대,1:00,이민재,,김승호,이산,
2024,춘계대회,16강,2024-02-21,가톨릭관동대,0:01,-,,-,-,
2024,U리그,1라운드,2024-03-29,배재대,2:00,"이민재, 정유찬",,이민재,백승민,
2024,U리그,2라운드,2024-04-05,인천대,2:00,"박건희, 조우영",,박건희,이산,
2024,U리그,3라운드,2024-04-12,건국대,0:01,-,,-,김현민,
2024,U리그,4라운드,2024-05-03,상지대,2:00,"김준하, 정유찬",,김준하,이민재,
2024,U리그,5라운드,2024-05-10,명지대,1:00,김준하,,김준하,이찬형,
2024,U리그,6라운드,2024-05-17,한남대,1:01,이동열,,이동열,장재혁,
2024,U리그,7라운드,2024-05-24,중앙대,2:01,"김준하, 정유찬",,정유찬,탁하도,
2024,U리그,8라운드,2024-05-31,가톨릭관동대,0:02,-,,-,레슬리,
2024,U리그,9라운드,2024-06-07,배재대,2:00,"정유찬, 신승현",,신승현,박건희,
2024,U리그,10라운드,2024-06-14,인천대,1:00,김장우,,김장우,신승현,
2024,저학년대회,조별리그,2024-07-03,건국대,2:01,"김준하, 신승현",,신승현,이찬형,
2024,저학년대회,조별리그,2024-07-05,국제사이버대,4:00,"정유찬, 최병욱, 이동열, 김준하",,최병욱,국민재,
2024,저학년대회,조별리그,2024-07-07,광운대,1:00,정유찬,,이승훈,정유찬,
2024,저학년대회,16강,2024-07-09,김해대,5:00,"정유찬(2), 이동열, 최병욱, 신승현",,정유찬,-,
2024,저학년대회,8강,2024-07-11,단국대,3:02,"정유찬(2), 김준하",,정유찬,-,
2024,저학년대회,4강,2024-07-13,동명대,2:03,"김준하, 박건희",,-,-,
2024,추계대회,조별리그,2024-08-10,초당대,4:01,"이찬형, 김준하, 김현민, 국민재",,이찬형,백승민,
2024,추계대회,조별리그,2024-08-12,제주한라대,4:00,"김경민, 장재혁, 이민재(2)",,김경민,김경민,
2024,추계대회,16강,2024-08-18,김해대,0:0(5PSO4),-,,백승민,-,
2024,추계대회,8강,2024-08-20,성균관대,0:0(3PSO1),-,,백승민,-,
2024,추계대회,4강,2024-08-22,동아대,0:0(3PSO4),-,,-,-,
2024,U리그,11라운드,2024-09-06,건국대,3:02,"김승호, 김준하, 최병욱",,최병욱,이찬형,
2024,U리그,12라운드,2024-09-27,상지대,4:01,"김현민, 김장우(2), 김준하",,김장우,최병욱,
2024,U리그,13라운드,2024-10-04,명지대,3:01,"김경민, 김현민, 김준하",,김경민,김장우,
2024,U리그,14라운드,2024-10-18,한남대,0:02,-,,-,안용윤,
2024,U리그,15라운드,2024-10-25,중앙대,2:02,"이찬형, 이동열",,이찬형,조우영,
2024,U리그,16라운드,2024-11-01,가톨릭관동대,2:01,"이동열, 김준하",,이동열,이동열,
2024,왕중왕전,8강,2024-11-11,울산대,0:02,-,,-,백승민,
2025,춘계대회,조별리그,2025-02-15,용인대,1:00,김장우,,김장우,김장우,
2025,춘계대회,조별리그,2025-02-17,배재대,4:00,"신승현(2), 김장우, 박건희",,신승현,이승훈,
2025,춘계대회,조별리그,2025-02-19,동원대,2:01,"신승현, 신중건",,신중건,조승택,
2025,춘계대회,16강,2025-02-23,송호대,3:01,"신승현, 현대호",,현대호,,
2025,춘계대회,8강,2025-02-25,경일대,1:1(4PSO3),이민재,,김희준,,
2025,춘계대회,준결승,2025-02-27,건국대,1:1(4PSO5),김장우,,-,,
2025,U리그,1라운드,2025-04-18,대구대,3:02,"김장우, 이민재, 신승현",,신승현,김희준,
2025,U리그,2라운드,2025-04-25,호원대,1:02,이민재,,-,조우영,
2025,U리그,3라운드,2025-05-23,중앙대,2:04,"김장우, 양한울",,-,탁하도,
2025,U리그,4라운드,2025-05-30,홍익대,0:01,-,,-,이민재,
2025,U리그,5라운드,2025-06-13,고려대,1:01,김장우,,김장우,안용윤,
2025,U리그,6라운드,2025-06-20,대구대,1:02,조승택,,-,김승호,
2025,추계대회,조별리그,2025-07-03,영남대,2:01,"김승호, 김건우",,김건우,박건희,MVP-김승호
2025,추계대회,조별리그,2025-07-05,목포과학대,3:00,"김장우(2), 김건우",,김장우,양한울,MVP-이민재
2025,추계대회,조별리그,2025-07-07,연성대,5:00,"김건우(3), 양한울, 신중건",,김건우,신중건,MVP-탁하도
2025,추계대회,16강,2025-07-11,광주대,1:00,김장우,,이승훈,-,MVP-김장우
2025,추계대회,8강,2025-07-13,호남대,0:01,-,,-,-,-
2025,저학년대회,조별리그,2025-08-18,배재대,2:01,현대호,,현대호,염정강,MVP-박건희
2025,저학년대회,조별리그,2025-08-20,동원대,2:00,"조우영, 김건우",,조우영,김도윤,MVP-조우영
2025,저학년대회,조별리그,2025-08-22,청운대,4:00,"전지환, 신승현, 김도윤, 현대호",,전지환,김근태,MVP-안용윤
2025,저학년대회,16강,2025-08-24,전주대,2:04,"현대호, 신승현",,-,-,-
2025,U리그,7라운드,2025-09-05,호원대,0:02,-,,-,신승현,-
2025,U리그,8라운드,2025-09-12,홍익대,2:01,현대호(2),,현대호,김동현,
2025,U리그,9라운드,2025-10-24,중앙대,1:01,염정강,,염정강,국민재,
2025,U리그,10라운드,2025-10-31,고려대,0:02,-,,-,현대호,-
